id,en,ar
t001,How do I renew my commercial licence?,كيف أجدد رخصتي التجارية؟
t002,How much does it cost to renew a commercial registration?,كم تكلفة تجديد السجل التجاري؟
t003,What documents do I need to renew my commercial registration?,ما المستندات المطلوبة لتجديد السجل التجاري؟
t004,What are the steps to issue a new commercial registration?,ما هي خطوات إصدار سجل تجاري جديد؟
t005,How long does a new commercial registration take?,كم يستغرق إصدار سجل تجاري جديد؟
t006,How do I update the address on my commercial registration?,كيف أحدث عنوان سجلي التجاري؟
t007,Is there a fee for updating my business address?,هل توجد رسوم لتحديث عنوان المنشأة؟
t008,How do I renew my national identity card?,كيف أجدد بطاقة الهوية الوطنية؟
t009,What is the fee for renewing a national ID?,كم رسوم تجديد الهوية الوطنية؟
t010,"My identity card expired last month, what should I do?",انتهت هويتي الشهر الماضي، ماذا أفعل؟
t011,How do I get a birth certificate for my newborn?,كيف أصدر شهادة ميلاد لمولودي؟
t012,What documents are needed for a birth certificate?,ما المستندات المطلوبة لشهادة الميلاد؟
t013,How do I renew my driving licence?,كيف أجدد رخصة القيادة؟
t014,What is the fee for renewing a driving licence?,كم رسوم تجديد رخصة القيادة؟
t015,Do I need a medical check to renew my driving licence?,هل أحتاج فحصاً طبياً لتجديد رخصة القيادة؟
t016,How do I transfer ownership of my car?,كيف أنقل ملكية سيارتي؟
t017,What does transferring vehicle ownership cost?,كم تكلفة نقل ملكية المركبة؟
t018,How do I apply for a building permit?,كيف أقدم على رخصة بناء؟
t019,What is the building permit fee per square metre?,كم رسوم رخصة البناء لكل متر مربع؟
t020,What documents does a building permit need?,ما المستندات المطلوبة لرخصة البناء؟
t021,How do I get a municipal licence for a shop?,كيف أحصل على رخصة بلدية لمحل؟
t022,What is the annual fee for a shop licence?,كم الرسوم السنوية لرخصة المحل؟
t023,Do I need civil defence approval for a restaurant licence?,هل أحتاج موافقة الدفاع المدني لرخصة مطعم؟
t024,How long does a shop licence take to issue?,كم يستغرق إصدار رخصة المحل؟
t025,How far ahead can I book an appointment?,قبل كم يمكنني حجز الموعد؟
t026,Is there a fee for booking an appointment?,هل هناك رسوم لحجز الموعد؟
t027,What is the status of my application CR12345678?,ما حالة طلبي رقم CR12345678؟
t028,Can you check application TR11223344 for me?,هل يمكنك الاستعلام عن الطلب TR11223344؟
t029,Where has my application MP99887766 got to?,وين وصل طلبي MP99887766؟
t030,I want to book an appointment at civil records in Riyadh,أريد حجز موعد في الأحوال المدنية بالرياض
t031,Book me a traffic services appointment in Jeddah please,احجز لي موعداً في خدمات المرور بجدة من فضلك
t032,I need an appointment for my commercial registration in Dammam,أحتاج موعداً بخصوص سجلي التجاري في الدمام
t033,Please book a municipal permits appointment in Makkah,من فضلك احجز موعد الرخص البلدية في مكة
t034,Check the status of CR87654321,استعلم عن حالة CR87654321
t035,I want to speak to a human agent please,أريد التحدث إلى موظف من فضلك
t036,This is a complaint and I want it escalated,هذه شكوى وأريد رفعها لمسؤول
t037,"Nobody has answered me for three weeks, put me through to a person",لم يرد علي أحد منذ ثلاثة أسابيع، حوّلني لموظف
t038,"Your answers are not helping, get me a representative",إجاباتك لا تفيدني، أريد ممثل خدمة
t039,The service centre is open from eight in the morning until three in the afternoon.,مركز الخدمة مفتوح من الثامنة صباحاً حتى الثالثة عصراً.
t040,Please bring the original document and one photocopy.,يرجى إحضار المستند الأصلي ونسخة واحدة منه.
t041,Your application has been approved and the certificate is ready to download.,تمت الموافقة على طلبك والشهادة جاهزة للتنزيل.
t042,The fee must be paid within five working days or the request expires.,يجب سداد الرسوم خلال خمسة أيام عمل وإلا انتهت صلاحية الطلب.
t043,You can update your national address from the portal without visiting a centre.,يمكنك تحديث عنوانك الوطني من البوابة دون زيارة المركز.
t044,What are the steps to issue a new commercial registration?,ما هي خطوات إصدار سجل تجاري جديد؟
t045,How long does a new commercial registration take?,كم يستغرق إصدار سجل تجاري جديد؟
t046,How do I renew my commercial licence?,كيف أجدد رخصتي التجارية؟
t047,How much does it cost to renew a commercial registration?,كم تكلفة تجديد السجل التجاري؟
